phase,step,total_loss,pde_loss,boundary_loss,initial_loss,data_loss
adam,1,2094.5859375,1627.2412109375,2.147279739379883,2.020259380340576,2.5295426845550537
adam,1000,2.853116989135742,0.8790093660354614,0.0010801792377606034,0.00403843866661191,0.07311228662729263
adam,2000,0.9804438352584839,0.19401171803474426,0.0003879516152665019,0.0006049140356481075,0.03435727581381798
adam,3000,0.5811034440994263,0.09018904715776443,0.0001609051541890949,0.00030062711448408663,0.02223805896937847
adam,4000,0.37606239318847656,0.047048065811395645,1.5776764485053718e-05,7.775917765684426e-05,0.015983035787940025
adam,5000,0.29630234837532043,0.035252995789051056,7.399407877528574e-06,6.988899986026809e-05,0.012666025198996067
lbfgs,5309,0.1402120143175125,0.03439531475305557,4.409416305861669e-06,4.11469372920692e-05,0.005063053220510483
