x,t,u
0.7568627450980392,0.08080808080808081,0.8241729540340201
-0.8823529411764706,0.7777777777777778,-0.769934776183515
-0.207843137254902,0.6565656565656566,-0.21217843770049072
-0.08235294117647063,0.43434343434343436,-0.10905392427436301
0.6000000000000001,0.43434343434343436,0.7517836226210844
-0.7411764705882353,0.8585858585858587,-0.6150867677961114
-0.12941176470588234,0.08080808080808081,-0.31916131473904413
-0.7019607843137254,0.696969696969697,-0.6689702603461332
0.5764705882352941,0.20202020202020204,0.9336817425136376
0.26274509803921564,0.09090909090909091,0.6057185467418938
-0.0039215686274509665,0.5252525252525253,-0.004637809826487937
-0.21568627450980393,0.9797979797979799,-0.16564770350071367
-0.6941176470588235,0.7373737373737375,-0.6390277632663648
0.8431372549019607,0.7676767676767677,0.7452161788998171
0.2941176470588236,0.7171717171717172,0.2821921170430784
-0.3647058823529412,0.787878787878788,-0.3271807201748361
-0.17647058823529416,0.5151515151515152,-0.21060448488284178
0.4509803921568627,0.12121212121212122,0.8799192576720629
0.44313725490196076,0.8383838383838385,0.3795426427955083
-0.07450980392156858,0.4545454545454546,-0.09611066061685723
-0.39607843137254906,0.5050505050505051,-0.47209812672844564
0.3176470588235294,0.37373737373737376,0.4499467274967875
0.3176470588235294,0.18181818181818182,0.6047685012609916
0.19999999999999996,0.9292929292929294,0.15981693322619067
-0.8588235294117648,0.787878787878788,-0.745681490146323
-0.050980392156862786,0.6464646464646465,-0.052715602097259485
0.2313725490196079,0.4040404040404041,0.31699714462954315
0.9058823529411764,0.8282828282828284,0.758390094018014
0.050980392156862786,0.5454545454545455,0.058869870717662365
-0.3176470588235294,0.4444444444444445,-0.41008214883779504
0.11372549019607847,0.4545454545454546,0.146567073200564
-0.6470588235294118,0.22222222222222224,-0.9708711450740446
-0.8196078431372549,0.09090909090909091,-0.6889638998047581
0.3568627450980393,0.5555555555555556,0.4029865114664505
0.9764705882352942,0.888888888888889,0.7713476798530873
0.6941176470588235,0.06060606060606061,0.9038347313842717
0.16862745098039222,0.8585858585858587,0.14285820687391462
-0.9215686274509804,0.8282828282828284,-0.7701061182198412
0.9764705882352942,0.27272727272727276,0.35992510086019086
-0.0980392156862745,0.6363636363636365,-0.10240188715359247
-0.41960784313725497,0.16161616161616163,-0.7905960489456537
0.7882352941176469,0.7575757575757577,0.7068148796114968
0.4980392156862745,0.7070707070707072,0.4780899854833226
0.4980392156862745,0.3535353535353536,0.7022148346211926
-0.44313725490196076,0.06060606060606061,-0.9353706558177313
0.9843137254901961,0.9797979797979799,0.6964043129675592
-0.0980392156862745,0.4444444444444445,-0.1280676684898878
0.06666666666666665,0.8989898989898991,0.05465170320346186
0.5058823529411764,0.6767676767676768,0.4994607283289433
0.3176470588235294,0.7777777777777778,0.287952290224454
-0.6549019607843137,0.7575757575757577,-0.5944232592724066
-0.39607843137254906,0.19191919191919193,-0.7209500060099162
-0.2784313725490196,0.36363636363636365,-0.40168814651496043
0.8980392156862744,0.4646464646464647,0.9737386690903949
0.4274509803921569,0.494949494949495,0.5139108194281086
-0.2705882352941177,0.04040404040404041,-0.6899308033901287
0.4745098039215687,0.5454545454545455,0.5366952205937112
0.48235294117647065,0.15151515151515152,0.8850364949065875
-0.21568627450980393,0.7474747474747475,-0.2015155466482097
-0.19215686274509802,0.686868686868687,-0.1903667397792555
0.7882352941176469,0.9292929292929294,0.6177044340862329
0.1215686274509804,0.7474747474747475,0.11374739832880378
-0.7019607843137254,0.36363636363636365,-0.9112423891169948
0.44313725490196076,0.9696969696969697,0.34159475303814474
0.17647058823529416,0.4141414141414142,0.23929147533524553
0.019607843137254832,0.32323232323232326,0.030484483004867405
0.4509803921568627,0.9090909090909092,0.36439550298136075
0.8196078431372549,0.37373737373737376,0.9793851001551023
-0.3411764705882353,0.07070707070707072,-0.7808027993282551
-0.16078431372549018,0.4646464646464647,-0.20425233711287571
-0.6235294117647059,0.797979797979798,-0.5479198059020379
0.2941176470588236,0.18181818181818182,0.5639742849585944
-0.19215686274509802,0.4646464646464647,-0.2437922595121705
-0.3176470588235294,0.12121212121212122,-0.6733830186577499
0.39607843137254894,0.686868686868687,0.3896979257371233
